Time_In,Time_out,Total_time,Tutor_ID,Table
2020-04-02T19:45:48.000Z,2020-04-02T21:04:48.000Z,01:19:00,391715,11
2020-04-02T19:50:47.000Z,2020-04-02T23:10:47.000Z,03:20:00,1699683,9
2020-04-02T20:19:58.000Z,2020-04-02T21:57:58.000Z,01:38:00,1496356,14
2020-04-02T21:23:59.000Z,2020-04-03T00:35:59.000Z,03:12:00,2583861,3
2020-04-02T21:24:50.000Z,2020-04-03T00:57:50.000Z,03:33:00,3192544,1
2020-04-02T21:43:04.000Z,2020-04-02T22:43:04.000Z,01:00:00,2833794,8
2020-04-02T21:53:49.000Z,2020-04-03T00:39:49.000Z,02:46:00,3989471,13
2020-04-02T21:53:52.000Z,2020-04-03T01:20:52.000Z,03:27:00,8383371,12
2020-04-03T17:18:55.000Z,2020-04-03T18:41:55.000Z,01:23:00,8626044,6
2020-04-03T17:29:20.000Z,2020-04-03T19:37:20.000Z,02:08:00,5301814,3
2020-04-03T18:11:42.000Z,2020-04-03T20:09:42.000Z,01:58:00,2583861,9
2020-04-03T18:48:10.000Z,2020-04-03T20:05:10.000Z,01:17:00,7067771,13
2020-04-03T19:04:32.000Z,2020-04-03T21:42:32.000Z,02:38:00,8146546,11
2020-04-03T20:11:13.000Z,2020-04-03T22:11:13.000Z,02:00:00,1013591,3
2020-04-03T20:21:38.000Z,2020-04-04T00:08:38.000Z,03:47:00,606173,12
2020-04-03T20:45:52.000Z,2020-04-03T22:54:52.000Z,02:09:00,1753990,8
2020-04-03T20:52:13.000Z,2020-04-03T22:10:13.000Z,01:18:00,1905876,12
2020-04-06T18:00:44.000Z,2020-04-06T20:09:44.000Z,02:09:00,6669765,9
2020-04-06T19:30:50.000Z,2020-04-06T20:53:50.000Z,01:23:00,3989471,10
2020-04-06T19:39:16.000Z,2020-04-06T22:54:16.000Z,03:15:00,8996052,3
2020-04-06T20:00:32.000Z,2020-04-06T23:06:32.000Z,03:06:00,7109780,9
2020-04-06T21:34:40.000Z,2020-04-06T22:40:40.000Z,01:06:00,9113654,1
2020-04-07T17:18:17.000Z,2020-04-07T19:05:17.000Z,01:47:00,2382928,13
2020-04-07T17:38:04.000Z,2020-04-07T20:57:04.000Z,03:19:00,7067771,1
2020-04-07T20:02:30.000Z,2020-04-07T21:14:30.000Z,01:12:00,1496356,5
2020-04-07T20:08:31.000Z,2020-04-07T21:47:31.000Z,01:39:00,9134724,6
2020-04-07T20:36:05.000Z,2020-04-08T00:27:05.000Z,03:51:00,7980323,4
2020-04-07T21:28:47.000Z,2020-04-08T01:19:47.000Z,03:51:00,2303104,8
2020-04-08T17:05:44.000Z,2020-04-08T19:58:44.000Z,02:53:00,9661710,4
2020-04-08T17:25:48.000Z,2020-04-08T18:43:48.000Z,01:18:00,6818734,5
2020-04-08T18:11:03.000Z,2020-04-08T21:03:03.000Z,02:52:00,404943,8
2020-04-08T18:29:38.000Z,2020-04-08T22:22:38.000Z,03:53:00,7372648,7
2020-04-08T20:12:07.000Z,2020-04-08T22:04:07.000Z,01:52:00,2972757,14
2020-04-08T20:32:29.000Z,2020-04-08T23:23:29.000Z,02:51:00,8996052,12
2020-04-08T20:35:24.000Z,2020-04-08T22:32:24.000Z,01:57:00,2404156,7
2020-04-08T20:46:58.000Z,2020-04-08T22:49:58.000Z,02:03:00,7479583,13
2020-04-08T21:23:58.000Z,2020-04-09T00:09:58.000Z,02:46:00,2404156,12
2020-04-09T18:35:52.000Z,2020-04-09T19:48:52.000Z,01:13:00,2972757,8
2020-04-09T19:04:15.000Z,2020-04-09T21:06:15.000Z,02:02:00,1699683,1
2020-04-09T19:15:38.000Z,2020-04-09T22:43:38.000Z,03:28:00,391715,9
2020-04-09T19:42:36.000Z,2020-04-09T21:20:36.000Z,01:38:00,6102098,10
2020-04-09T19:58:11.000Z,2020-04-09T21:35:11.000Z,01:37:00,94210,1
2020-04-09T20:33:19.000Z,2020-04-09T23:00:19.000Z,02:27:00,1013591,2
2020-04-09T20:48:56.000Z,2020-04-10T00:44:56.000Z,03:56:00,9134724,6
2020-04-10T17:10:01.000Z,2020-04-10T19:32:01.000Z,02:22:00,5301814,10
2020-04-10T17:35:44.000Z,2020-04-10T20:50:44.000Z,03:15:00,1753990,2
2020-04-10T18:03:45.000Z,2020-04-10T20:40:45.000Z,02:37:00,7067771,3
2020-04-10T18:44:21.000Z,2020-04-10T22:26:21.000Z,03:42:00,6818734,7
2020-04-10T18:49:52.000Z,2020-04-10T20:46:52.000Z,01:57:00,7195993,4
2020-04-10T20:16:15.000Z,2020-04-10T23:40:15.000Z,03:24:00,5313296,5
2020-04-10T20:57:00.000Z,2020-04-10T23:24:00.000Z,02:27:00,6102098,9
2020-04-10T21:00:36.000Z,2020-04-10T22:02:36.000Z,01:02:00,5611989,9
2020-04-10T21:08:49.000Z,2020-04-11T01:04:49.000Z,03:56:00,4085462,8
2020-04-10T21:23:15.000Z,2020-04-10T22:52:15.000Z,01:29:00,7088454,9
2020-04-10T21:44:25.000Z,2020-04-10T23:26:25.000Z,01:42:00,6669765,7
2020-04-13T17:17:41.000Z,2020-04-13T19:49:41.000Z,02:32:00,1720174,12
2020-04-13T20:14:50.000Z,2020-04-13T22:27:50.000Z,02:13:00,2303104,7
2020-04-13T21:41:33.000Z,2020-04-13T23:25:33.000Z,01:44:00,2255077,1
2020-04-14T17:12:38.000Z,2020-04-14T18:50:38.000Z,01:38:00,5313296,2
2020-04-14T18:23:50.000Z,2020-04-14T19:37:50.000Z,01:14:00,2833794,6
2020-04-14T18:27:53.000Z,2020-04-14T20:47:53.000Z,02:20:00,1699683,2
2020-04-14T18:28:57.000Z,2020-04-14T22:12:57.000Z,03:44:00,492448,8
2020-04-14T18:45:21.000Z,2020-04-14T22:19:21.000Z,03:34:00,5611989,1
2020-04-14T19:47:54.000Z,2020-04-14T23:06:54.000Z,03:19:00,9113654,10
2020-04-14T20:44:58.000Z,2020-04-15T00:19:58.000Z,03:35:00,2303104,8
2020-04-14T21:02:46.000Z,2020-04-14T22:18:46.000Z,01:16:00,975929,2
2020-04-14T21:06:33.000Z,2020-04-14T22:37:33.000Z,01:31:00,978963,9
2020-04-14T21:08:37.000Z,2020-04-14T23:39:37.000Z,02:31:00,2972757,5
2020-04-15T17:05:11.000Z,2020-04-15T18:20:11.000Z,01:15:00,2849732,10
2020-04-15T17:19:25.000Z,2020-04-15T20:53:25.000Z,03:34:00,791487,12
2020-04-15T17:59:55.000Z,2020-04-15T21:00:55.000Z,03:01:00,94210,14
2020-04-15T18:15:00.000Z,2020-04-15T22:04:00.000Z,03:49:00,7454223,14
2020-04-15T19:23:13.000Z,2020-04-15T20:39:13.000Z,01:16:00,8636887,14
2020-04-15T19:48:38.000Z,2020-04-15T22:26:38.000Z,02:38:00,2382928,5
2020-04-15T19:54:26.000Z,2020-04-15T23:40:26.000Z,03:46:00,3192544,3
2020-04-15T20:21:33.000Z,2020-04-15T23:52:33.000Z,03:31:00,3989471,13
2020-04-15T21:39:31.000Z,2020-04-15T23:51:31.000Z,02:12:00,7479583,6
2020-04-15T21:59:10.000Z,2020-04-16T01:21:10.000Z,03:22:00,975929,2
2020-04-16T17:00:24.000Z,2020-04-16T20:24:24.000Z,03:24:00,3989471,10
2020-04-16T17:49:49.000Z,2020-04-16T19:41:49.000Z,01:52:00,5313296,13
2020-04-16T17:58:14.000Z,2020-04-16T21:32:14.000Z,03:34:00,5611989,1
2020-04-16T18:42:13.000Z,2020-04-16T21:43:13.000Z,03:01:00,1445662,9
2020-04-16T18:58:14.000Z,2020-04-16T20:01:14.000Z,01:03:00,5009252,1
2020-04-16T19:29:39.000Z,2020-04-16T22:13:39.000Z,02:44:00,8996052,12
2020-04-16T20:59:39.000Z,2020-04-16T22:48:39.000Z,01:49:00,8146546,2
2020-04-16T21:36:20.000Z,2020-04-16T22:45:20.000Z,01:09:00,2833794,5
2020-04-16T21:56:52.000Z,2020-04-16T23:02:52.000Z,01:06:00,2432366,2
2020-04-17T17:13:52.000Z,2020-04-17T20:47:52.000Z,03:34:00,391715,13
2020-04-17T17:46:19.000Z,2020-04-17T18:50:19.000Z,01:04:00,9113654,7
2020-04-17T18:53:51.000Z,2020-04-17T22:09:51.000Z,03:16:00,2896512,6
2020-04-17T19:45:23.000Z,2020-04-17T22:50:23.000Z,03:05:00,6510251,5
2020-04-17T19:47:35.000Z,2020-04-17T21:35:35.000Z,01:48:00,9134724,6
2020-04-17T20:21:59.000Z,2020-04-17T22:53:59.000Z,02:32:00,5789122,3
2020-04-20T17:20:42.000Z,2020-04-20T18:44:42.000Z,01:24:00,9661710,9
2020-04-20T21:37:01.000Z,2020-04-20T23:19:01.000Z,01:42:00,9113654,11
2020-04-21T17:10:23.000Z,2020-04-21T19:07:23.000Z,01:57:00,8383371,11
2020-04-21T17:10:37.000Z,2020-04-21T20:40:37.000Z,03:30:00,7454223,13
2020-04-21T17:18:17.000Z,2020-04-21T20:42:17.000Z,03:24:00,975929,14
2020-04-21T18:31:26.000Z,2020-04-21T21:46:26.000Z,03:15:00,2583861,6
2020-04-21T18:45:21.000Z,2020-04-21T21:02:21.000Z,02:17:00,5301814,7
2020-04-21T18:51:43.000Z,2020-04-21T19:53:43.000Z,01:02:00,5194264,5
2020-04-21T19:05:25.000Z,2020-04-21T21:28:25.000Z,02:23:00,8626044,14
2020-04-21T20:22:04.000Z,2020-04-22T00:09:04.000Z,03:47:00,7372648,1
2020-04-21T20:54:01.000Z,2020-04-21T23:59:01.000Z,03:05:00,5611989,7
2020-04-21T21:04:52.000Z,2020-04-21T23:47:52.000Z,02:43:00,1496356,3
2020-04-21T21:41:45.000Z,2020-04-22T00:59:45.000Z,03:18:00,8383371,9
2020-04-21T21:55:37.000Z,2020-04-22T01:25:37.000Z,03:30:00,2833794,4
2020-04-22T17:04:09.000Z,2020-04-22T20:46:09.000Z,03:42:00,7729948,2
2020-04-22T17:19:01.000Z,2020-04-22T20:59:01.000Z,03:40:00,978963,2
2020-04-22T17:56:38.000Z,2020-04-22T21:12:38.000Z,03:16:00,7088454,2
2020-04-22T18:23:17.000Z,2020-04-22T21:39:17.000Z,03:16:00,5334466,5
2020-04-22T18:58:35.000Z,2020-04-22T20:11:35.000Z,01:13:00,9134724,10
2020-04-22T19:39:33.000Z,2020-04-22T22:58:33.000Z,03:19:00,5098338,6
2020-04-22T20:27:18.000Z,2020-04-22T22:08:18.000Z,01:41:00,7729948,10
2020-04-22T20:48:19.000Z,2020-04-23T00:29:19.000Z,03:41:00,2849732,6
2020-04-22T21:16:04.000Z,2020-04-23T00:33:04.000Z,03:17:00,2432366,13
2020-04-23T17:25:30.000Z,2020-04-23T19:25:30.000Z,02:00:00,7479583,7
2020-04-23T19:04:18.000Z,2020-04-23T20:31:18.000Z,01:27:00,4100923,9
2020-04-23T19:27:45.000Z,2020-04-23T22:45:45.000Z,03:18:00,5009252,9
2020-04-23T20:29:40.000Z,2020-04-23T21:40:40.000Z,01:11:00,3192544,6
2020-04-23T20:35:41.000Z,2020-04-23T22:54:41.000Z,02:19:00,7454223,14
2020-04-23T21:28:59.000Z,2020-04-24T00:07:59.000Z,02:39:00,2255077,4
2020-04-24T18:04:21.000Z,2020-04-24T21:14:21.000Z,03:10:00,7195993,7
2020-04-24T18:38:07.000Z,2020-04-24T19:45:07.000Z,01:07:00,2972757,5
2020-04-24T19:02:32.000Z,2020-04-24T22:14:32.000Z,03:12:00,1845670,11
2020-04-24T19:31:22.000Z,2020-04-24T22:59:22.000Z,03:28:00,2896512,4
2020-04-24T19:48:24.000Z,2020-04-24T23:19:24.000Z,03:31:00,2303104,12
2020-04-24T19:58:13.000Z,2020-04-24T23:35:13.000Z,03:37:00,7479583,5
2020-04-24T20:07:35.000Z,2020-04-24T23:40:35.000Z,03:33:00,2382928,8
2020-04-24T20:58:49.000Z,2020-04-24T22:56:49.000Z,01:58:00,2255077,2
2020-04-24T21:02:32.000Z,2020-04-24T23:26:32.000Z,02:24:00,2255077,10
2020-04-24T21:51:50.000Z,2020-04-25T01:17:50.000Z,03:26:00,6048764,2
2020-04-24T21:58:19.000Z,2020-04-25T00:58:19.000Z,03:00:00,5098338,12
2020-05-10T11:30:28.000Z,2020-05-10T11:42:41.000Z,00:12:13,94210,5
2020-05-10T11:43:12.000Z,2020-05-10T12:37:55.000Z,00:54:43,94210,7
2020-05-10T12:41:08.000Z,2020-05-10T12:52:48.000Z,00:11:40,94210,4
2020-05-12T05:59:14.000Z,2020-05-12T07:46:46.000Z,01:47:32,606173,5
2020-05-12T07:01:33.000Z,2020-05-12T07:40:46.000Z,00:39:13,7454223,11
2020-05-12T07:14:34.000Z,2020-05-12T07:35:51.000Z,00:21:17,1753990,2
2020-05-12T07:14:36.000Z,2020-05-12T07:35:45.000Z,00:21:09,1753990,2
2020-05-12T07:14:38.000Z,2020-05-12T07:35:37.000Z,00:20:59,1753990,2
2020-05-12T07:14:39.000Z,2020-05-12T07:35:21.000Z,00:20:42,1753990,2
2020-05-12T07:44:09.000Z,2020-05-12T07:44:44.000Z,00:00:35,6102098,6
2020-05-12T07:45:47.000Z,2020-05-12T08:49:33.000Z,01:03:46,5204243,6
2020-05-12T07:46:27.000Z,2020-05-12T08:50:14.000Z,01:03:47,404943,6
2020-05-12T08:51:00.000Z,,,404943,6
2020-05-13T01:47:15.000Z,2020-05-13T01:47:20.000Z,00:00:05,1,1
2020-05-13T03:57:45.000Z,2020-05-13T03:58:34.000Z,00:00:49,1,4
2020-05-13T04:24:00.000Z,2020-05-13T04:24:10.000Z,00:00:10,1,4
2020-05-13T04:24:27.000Z,2020-05-13T04:24:32.000Z,00:00:05,1,4
2020-05-13T04:55:21.000Z,2020-05-13T04:55:28.000Z,00:00:07,1,5
2020-05-13T07:33:18.000Z,2020-05-13T07:35:39.000Z,00:02:21,1,2
2020-05-13T07:35:50.000Z,2020-05-13T07:38:11.000Z,00:02:21,1,2
2020-05-13T07:38:17.000Z,2020-05-22T04:49:02.000Z,00:00:31,1,3
2020-05-22T06:53:29.000Z,2020-05-22T06:53:34.000Z,00:00:05,1,5
2020-05-23T14:15:00.000Z,2020-05-23T14:15:04.000Z,00:00:04,1,2
2020-05-23T14:17:00.000Z,2020-05-23T14:17:10.000Z,00:00:10,1,2
2020-05-23T14:17:23.000Z,2020-05-23T14:18:18.000Z,00:00:55,1,4
2020-05-23T14:19:23.000Z,2020-05-23T14:20:43.000Z,00:00:33,1,2
2020-05-23T14:19:24.000Z,2020-05-23T14:19:45.000Z,00:00:21,1,7
2020-05-23T14:21:59.000Z,2020-05-23T14:34:33.000Z,00:12:34,1,4
2020-05-23T14:34:55.000Z,2020-05-23T14:35:04.000Z,00:00:09,1,3
2020-05-23T14:35:12.000Z,2020-05-23T14:35:18.000Z,00:00:06,1,7
2020-05-23T14:35:33.000Z,2020-05-23T14:36:16.000Z,00:00:43,1,3
2020-05-23T14:36:26.000Z,2020-05-23T14:36:30.000Z,00:00:04,1,4
2020-05-23T14:36:39.000Z,2020-05-24T10:18:55.000Z,19:42:16,1,7
2020-05-24T10:19:06.000Z,2020-05-24T10:19:26.000Z,00:00:20,1,1
2020-05-24T10:19:32.000Z,2020-05-24T10:19:47.000Z,00:00:15,1,1
2020-05-24T10:19:54.000Z,2020-05-24T10:20:49.000Z,00:00:55,1,1
2020-05-24T10:20:54.000Z,2020-05-24T10:21:01.000Z,00:00:07,1,1
2020-05-24T10:21:06.000Z,2020-05-24T10:23:48.000Z,00:02:42,1,1
2020-05-24T10:23:55.000Z,2020-05-24T10:24:05.000Z,00:00:10,1,1
2020-05-24T10:24:15.000Z,2020-05-24T10:25:59.000Z,00:01:44,1,1
2020-05-24T10:26:06.000Z,2020-05-24T10:26:14.000Z,00:00:08,1,1
2020-05-24T10:26:23.000Z,2020-05-24T10:28:50.000Z,00:02:27,1,4
2020-05-24T10:28:56.000Z,2020-05-24T10:29:01.000Z,00:00:05,1,1
2020-05-24T10:29:06.000Z,2020-05-24T10:31:36.000Z,00:02:30,1,1
2020-05-24T10:32:13.000Z,2020-05-24T10:33:22.000Z,00:01:09,1,10
2020-05-24T10:33:51.000Z,2020-05-24T10:33:59.000Z,00:00:08,1,2
2020-05-24T10:34:11.000Z,2020-05-24T10:39:34.000Z,00:05:23,1,1
2020-05-24T10:39:46.000Z,2020-05-24T10:40:11.000Z,00:00:25,1,2
2020-05-24T10:40:22.000Z,2020-05-24T10:41:53.000Z,00:01:31,1,1
2020-05-24T10:50:53.000Z,2020-05-24T10:51:11.000Z,00:00:18,1,1
2020-05-24T10:51:16.000Z,2020-05-24T10:51:23.000Z,00:00:07,1,4
2020-05-24T10:51:31.000Z,2020-05-24T10:51:53.000Z,00:00:22,1,12
2020-05-24T11:27:33.000Z,2020-05-24T11:27:37.000Z,00:00:04,1,7
2020-05-24T11:27:57.000Z,2020-05-24T11:28:00.000Z,00:00:03,1,9
2020-05-24T11:28:21.000Z,2020-05-24T11:28:23.000Z,00:00:02,1,1
2020-05-24T11:29:28.000Z,2020-05-24T11:29:39.000Z,00:00:11,1,3
2020-05-24T13:30:11.000Z,2020-05-24T13:30:15.000Z,00:00:04,1,2
