Day,Time_in,Time_out,Tutor_ID
6,11:45:00,13:00:00,7067771
6,11:45:00,13:45:00,7195993
6,12:00:00,14:45:00,1699683
6,12:00:00,15:15:00,1845670
6,12:00:00,15:15:00,2896512
6,12:00:00,14:45:00,8146546
6,12:15:00,15:00:00,5204243
6,12:30:00,15:15:00,1496356
6,12:30:00,16:00:00,2896512
6,12:45:00,16:15:00,2303104
6,12:45:00,15:45:00,6510251
6,12:45:00,14:30:00,9134724
6,13:00:00,16:30:00,7479583
6,13:15:00,17:15:00,606173
6,13:15:00,15:15:00,1013591
6,13:15:00,16:45:00,2382928
6,13:15:00,16:45:00,5313296
6,13:15:00,16:00:00,5789122
6,13:45:00,16:00:00,1753990
6,13:45:00,15:15:00,1905876
6,14:00:00,17:00:00,404943
6,14:00:00,16:30:00,2255077
6,14:00:00,15:00:00,5611989
6,14:00:00,16:30:00,6102098
6,14:15:00,18:00:00,4085462
6,14:30:00,15:45:00,7088454
6,14:45:00,18:15:00,6048764
6,14:45:00,18:00:00,6102098
6,14:45:00,16:30:00,6669765
6,15:00:00,18:00:00,5098338
